127.0.0.1 - - [11/Oct/2022:02:10:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/ HTTP/1.1" 200 10798
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/css/head.css?after HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/css/head.css HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/newLogo.png HTTP/1.1" 200 170948
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/login.jpg HTTP/1.1" 200 9824
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/SumoLanding/lib/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/user.JPG HTTP/1.1" 200 11388
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/css/main.css HTTP/1.1" 200 7455
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/SumoLanding/lib/ionicons/css/ionicons.min.css HTTP/1.1" 200 51295
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/board.JPG HTTP/1.1" 200 10262
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/store_img/%EB%8F%99%EA%B3%A1%EB%A7%89%EA%B1%B8%EB%A6%AC4.jpg HTTP/1.1" 200 90970
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/store_img/%EC%84%B8%EC%97%B0%EC%A0%84%ED%86%B5%EC%BD%A9%EA%B5%AD3.jpg HTTP/1.1" 200 6640
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/store_img/%ED%81%90%EC%82%B01.jpg HTTP/1.1" 200 158282
0:0:0:0:0:0:0:1 - - [11/Oct/2022:02:10:51 +0900] "GET /tablingProj/img/store_img/%EC%B2%AD%EA%B8%B0%EC%99%80%EC%96%91%EA%B3%B1%EC%B0%BD%EC%8B%9D%EB%8B%B91.jpg HTTP/1.1" 200 114264
